name,source,AC,HP,init
Aeorian Reverser,EGW,15,14d10+56,+3
Aerosaur,BGG,14,10d20+50,0
Aerosaur (Large),PSX,13,4d12+4,+1
Aerosaur (Small),PSX,13,3d8,+2
Affliction Devil (Kocrachon),CoA,20,16d8+32,+4
Air Elemental,MM'14,15,12d10+24,+5
Air Elemental,MM'25,15,12d10+24,+5
Air Elemental Myrmidon,MTF,17,18d8+36,+2
Air Elemental Myrmidon,MPMM,17,18d8+36,+2
Air Totem Elemental,PSX,15,12d10+24,+5
Akroan Hoplite,MOT,17,8d8+16,+3
Albino Dwarf Spirit Warrior,ToA,13,4d8+12,+1
Albino Dwarf Warrior,ToA,13,4d8+12,+1
Aldani (Lobsterfolk),ToA,14,9d8+9,-1
Alhoon,VGM,15,16d8+48,+1
Alhoon,MPMM,15,20d8+60,+1
Alkilith,MTF,17,15d8+90,+4
Alkilith,MPMM,17,16d8+96,+4
Allip,MPMM,13,9d8,+3
Allip,MTF,13,9d8,+3
Allosaurus,MM'25,13,6d10+18,+1
Allosaurus,MM'14,13,6d10+18,+1
Allowak Abominable Yeti,EGW,15,11d12+66,0
Allowak Yeti,EGW,12,6d10+18,+1
Almiraj,ToA,13,1d6,+3
Alseid,MOT,15,4d8+4,0
Altisaur,PSX,15,9d20+27,-1
Altisaur,BGG,15,12d20+72,-2
Alyxian Aboleth,CRCotN,17,18d10+36,-1
Alyxian the Hunter,CRCotN,17,17d10+85,-1
Amber Golem,CoS,17,17d10+85,-1
Ambitious Assassin,BMT,16,14d8+28,+4
Ambush Drake,HotDQ,13,4d6+8,+2
Amethyst Dragon Wyrmling,FTD,17,10d8+30,0
Amethyst Greatwyrm,FTD,20,26d20+234,+2
Ammit,PSA,14,9d12+27,-1
Amnizu,MPMM,20,27d8+81,+1
Amnizu,MTF,20,27d8+81,+1
Amonkhet Dragon Wyrmling,PSA,17,10d8+30,0
Amonkhet Hydra,PSA,15,15d12+75,+1
Amonkhet Mummy,PSA,11,9d8+18,-1
Amonkhet Mummy Lord,PSA,17,13d8+39,0
Amonkhet Sphinx,PSA,17,19d10+95,0
Amphisbaena,GoS,14,2d8+2,+4
Amphisbaena,TftYP,12,8d12+8,+2
Anarch,GGR,13,2d8+2,+1
Anchorite of Talos,DIP,13,9d8+18,+1
Ancient Amethyst Dragon,FTD,20,24d20+192,+2
Ancient Amonkhet Dragon,PSA,22,28d20+252,0
Ancient Black Dragon,MM'25,22,21d20+147,+2
Ancient Black Dragon,MM'14,22,21d20+147,+2
Ancient Blue Dragon,MM'25,22,26d20+208,0
Ancient Blue Dragon,MM'14,22,26d20+208,0
Ancient Brass Dragon,MM'14,20,17d20+119,0
Ancient Brass Dragon,MM'25,20,19d20+133,0
Ancient Bronze Dragon,MM'25,22,24d20+192,0
Ancient Bronze Dragon,MM'14,22,24d20+192,0
Ancient Copper Dragon,MM'14,20,20d20+140,+1
Ancient Copper Dragon,MM'25,21,21d20+147,+1
Ancient Crystal Dragon,FTD,20,12d20+96,+1
Ancient Deep Crow,AI,17,15d12+90,+3
Ancient Deep Dragon,FTD,20,13d20+65,+3
Ancient Deep Dragon,FRAiF,20,15d20+90,+3
Ancient Dragon Turtle,FTD,22,21d20+189,+1
Ancient Emerald Dragon,FTD,20,19d20+133,+1
Ancient Gold Dragon,MM'25,22,28d20+252,+2
Ancient Gold Dragon,MM'14,22,28d20+252,+2
Ancient Green Dragon,MM'14,20,22d20+154,+1
Ancient Green Dragon,MM'25,21,23d20+161,+1
Ancient Lunar Dragon,BAM,17,17d20+119,+1
Ancient Moonstone Dragon,FTD,20,20d20+120,+4
Ancient Red Dragon,MM'25,22,26d20+234,0
Ancient Red Dragon,MM'14,22,28d20+252,0
Ancient Sapphire Dragon,FTD,20,20d20+160,+2
Ancient Sea Serpent,FTD,17,11d20+55,+2
Ancient Silver Dragon,MM'25,22,24d20+216,0
Ancient Silver Dragon,MM'14,22,25d20+225,0
Ancient Solar Dragon,BAM,17,23d20+184,+2
Ancient Spirit Dragon,FRAiF,21,24d20+168,+2
Ancient Time Dragon,MPP,22,29d20+232,+2
Ancient Topaz Dragon,FTD,20,17d20+102,+1
Ancient White Dragon,MM'25,20,18d20+144,0
Ancient White Dragon,MM'14,20,18d20+144,0
Android,QftIS,15,14d8+28,+4
Androsphinx,MM'14,17,19d10+95,0
Angel,PSK,17,16d8+64,+4
Angel,PSZ,17,16d8+64,+4
Angel of Amonkhet,PSA,17,16d8+64,+4
Angry Sorrowsworn,MPMM,17,30d8+120,0
Anhkolox,DSotDQ,15,15d12+60,0
Animal Lord,MM'25,19,34d8+170,+7
Animated Armor,MM'25,18,6d8+6,0
Animated Armor,MM'14,17,6d8+6,0
Animated Armor Detention Drone,BMT,17,6d8+6,0
Animated Ballista,WDMM,15,50,0
Animated Breath,FTD,15,10d10+40,0
Animated Broom,MM'25,15,4d6,+3
Animated Broom,CM,15,5d6,+3
Animated Chained Library,CM,14,6d10+12,-1
Animated Coffin,AATM,16,8d10+16,+1
Animated Drow Statue,OotA,17,6d8+6,0
Animated Flying Sword,MM'25,17,4d6,+2
Animated Furniture,CoA,17,17d10+85,-1
Animated Glass Statue,CRCotN,10,3d10+6,0
Animated Halberd,CoS,15,5d6,+2
Animated Jade Serpent,WDMM,14,2d8+2,+4
Animated Knife,EGW,17,5d4,+2
Animated Object,PHB'24,15,(manual),0
Animated Object (Huge),PHB'14,10,80,-2
Animated Object (Large),PHB'14,10,50,0
Animated Object (Medium),PHB'14,13,40,+1
Animated Object (Small),PHB'14,16,25,+2
Animated Object (Tiny),PHB'14,17,20,+4
Animated Rug of Smothering,MM'25,12,5d10,+2
Animated Staff,WDMM,17,40,+1
Animated Statue,WDMM,12,18d8+18,+2
Animated Statue of Lolth,WDMM,17,20d12+100,-1
Animated Stove,WDMM,17,50,0
Animated Table,TftYP,15,6d10+6,-1
Animated Tile Chimera,RoT,14,12d10+48,0
Animated Tree,EGW,16,12d12+60,-1
Animated Wand,WDMM,17,20,+4
Animatronic Allosaurus,KftGV,13,6d10+18,+1
Ankheg,MM'14,14,6d10+6,0
Ankheg,WttHC,14,6d10+12,0
Ankheg,MM'25,14,6d10+12,0
Ankhtepot,RHW,17,27d8+81,0
Ankylosaurus,MM'25,15,8d12+16,0
Ankylosaurus,MM'14,15,8d12+16,0
Ankylosaurus Zombie,ToA,14,8d12+16,-1
Annis Hag,VGM,17,10d10+20,+1
Annis Hag,MPMM,17,12d10+24,+1
Anointed,PSA,8,3d8+9,-2
Anvilwrought Raptor,MOT,14,4d4+8,+3
Ape,MM'14,12,3d8+6,+2
Ape,MM'25,12,3d8+6,+2
Aphemia,MOT,15,8d8+16,+3
Apprentice,HoL,10,2d8-2,0
Apprentice Wizard,MPMM,10,3d8,0
Apprentice Wizard,VGM,10,2d8,0
Aquatic Ghoul,PotA,12,5d8,+2
Aquatic Troll,RoT,15,8d10+40,+1
Aranea,FRAiF,14,12d8+12,+3
Arasta,MOT,19,24d12+144,+3
Arcanaloth,MM'14,17,16d8+32,+1
Arcanaloth,MM'25,18,27d8+54,+1
Arch-hag,MM'25,20,29d10+174,+2
Archaic,SCC,20,14d20+98,0
Archdruid,VGM,16,24d8+24,+2
Archdruid,MPMM,14,28d8+28,+2
Archelon,MM'25,17,12d12+12,+3
Archer,MPMM,16,10d8+30,+4
Archer,VGM,16,10d8+30,+4
Archfiend of Ifnir,PSA,17,16d10+96,0
Archmage,MM'25,17,31d8+31,+2
Archmage,MM'14,12,18d8+18,+2
Archon of Boundaries,MCV4EC,17,17d12+85,+3
Archon of Falling Stars,MOT,17,17d8+68,+2
Archon of Redemption,PSZ,17,16d8+64,+4
Archon of the Triumvirate,GGR,17,17d8+68,+2
Archpriest,MM'25,16,32d8+96,+1
Arclight Phoenix,GGR,16,19d8+57,+6
Aribeth de Tylmarande,MaBJoV,17,16d8+48,+2
Armanite,MTF,16,8d10+40,+4
Armanite,MPMM,16,9d10+45,+4
Armasaur,PSX,13,8d12+24,-1
Armored Saber-Toothed Tiger,CoS,17,7d10+14,+2
Armored Troglodyte,WDMM,14,2d8+4,0
Art Elemental Mascot,SCC,11,4d6+4,+1
Ash Zombie,LMoP,8,3d8+9,-2
Ash Zombie,PaBTSO,8,3d8+9,-2
Ashen Animated Armor,KftGV,17,6d8+6,0
Ashen Flying Sword,KftGV,17,5d6,+2
Ashen Heir Anarchist,JttRC,13,5d8+5,0
Ashen Heir Assassin,JttRC,15,12d8+24,+3
Ashen Heir Mage,JttRC,12,9d8,+2
Ashen Heir Veteran,JttRC,17,9d8+18,+1
Ashen Knight,KftGV,17,8d8+16,0
Ashen Rider,MOT,17,21d8+84,+3
Ashen Shambling Mound,KftGV,15,16d10+48,-1
Ashen Veteran,KftGV,17,9d8+18,+1
Ashen Warhorse,KftGV,11,3d10+3,+1
Asmodeus,CoA,22,50d10+450,+5
Aspect of Bahamut,FTD,23,30d20+270,+4
Aspect of Tiamat,FTD,23,28d20+280,+2
Aspirant of the Comet,BMT,11,5d8+5,+1
Assassin,MM'14,15,12d8+24,+3
Assassin,MM'25,16,15d8+30,+4
Assassin Bug,MFF,14,10d8+10,+2
Assassin Vine,ToA,13,10d10+30,0
Asteria,BMT,17,26d8+78,+5
Asteroid Spider,MCV1SC,17,24d20+96,0
Astral Blight,LoX,12,4d8+8,-1
Astral Dreadnought,MPMM,20,17d20+119,-2
Astral Dreadnought,MTF,20,17d20+119,-2
Astral Elf Aristocrat,BAM,16,23d8,+2
Astral Elf Commander,BAM,17,26d8+26,+2
Astral Elf Honor Guard,BAM,17,17d8+17,+2
Astral Elf Star Priest,BAM,13,20d8,0
Astral Elf Warrior,BAM,16,13d8,+2
Athar Null,MPP,14,13d8+26,+3
Atropal,ToA,7,18d12+108,-3
Aurak Draconian,DSotDQ,17,9d8+27,+2
Aurelia,GGR,22,25d8+175,+7
Aurnozci,BMT,16,20d20+160,+5
Aurochs,MPMM,11,4d10+16,0
Aurochs,VGM,11,4d10+16,0
Aurumach Rilmani,MPP,17,30d10+120,+5
Aurumvorax,JttRC,15,8d6+8,+1
Aurumvorax Den Leader,JttRC,16,8d8+16,+2
Autognome,BAM,16,6d6+18,-2
Autumn Eladrin,MTF,19,17d8+51,+3
Autumn Eladrin,MPMM,19,22d8+66,+3
Avacyn,PSI,20,18d10+144,+6
Avatar of Baalzebul,CoA,14,30d8+150,+1
Avatar of Death,DMG'14,20,(manual),+3
Avatar of Death,DMG'24,20,(manual),+3
Avoral Guardinal,MPP,16,23d8+69,+4
Awakened Brown Bear,WDMM,11,4d10+12,0
Awakened Elk,WDMM,10,2d10+2,0
Awakened Giant Wasp,WDMM,12,3d8,+2
Awakened Rat,WDH,10,1d4-1,0
Awakened Shrub,MM'14,9,3d6,-1
Awakened Shrub,MM'25,9,3d6,-1
Awakened Shrub Totem Elemental,PSX,9,3d6,-1
Awakened Tree,MM'25,13,7d12+14,-2
Awakened Tree,MM'14,13,7d12+14,-2
Awakened White Moose,IDRotF,11,8d10+24,0
Awakened Zurkhwood,OotA,13,7d12+14,-2
Axe Beak,MM'14,11,3d10+3,+1
Axe Beak,MM'25,11,3d10+3,+1
Axe of Mirabar Soldier,SKT,17,9d8+27,+1
Ayperobo Swarm,CoA,20,20d8+40,+7
Azalin Rex,RHW,20,52d8+156,+3
Azer,MM'14,17,6d8+12,+1
Azer Pyromancer,MM'25,18,13d8+39,+2
Azer Sentinel,MM'25,17,6d8+12,+1
B'rohg,BAM,14,8d12+40,+2
Baalzebul,CoA,19,40d12+280,+2
Baalzebul,MaBJoV,19,40d12+280,+2
Baaz Draconian,DSotDQ,14,4d8+4,0
Babau,MPMM,16,11d8+33,+3
Babau,VGM,16,11d8+33,+3
Baboon,MM'14,12,1d6,+2
Baboon,MM'25,12,1d6,+2
Badger,MM'14,10,1d4+1,0
Badger,MM'25,11,1d4+3,0
Bael,MTF,17,18d10+90,+3
Bael,MPMM,17,18d10+90,+3
Baernaloth,MPP,17,27d10+108,+2
Bag Jelly,BGG,8,5d8+20,-2
Bakunawa,JttRC,15,12d20+24,+1
Balhannoth,MPMM,17,12d10+48,-1
Balhannoth,MTF,17,12d10+48,-1
Balor,MM'14,19,21d12+126,+2
Balor,MM'25,19,23d12+138,+2
Baloth,PSZ,13,10d12+30,-1
Banderhobb,MPMM,15,8d10+40,+1
Banderhobb,VGM,15,8d10+40,+1
Bandit,MM'25,12,2d8+2,+1
Bandit,MM'14,12,2d8+2,+1
Bandit Captain,MM'25,15,8d8+16,+3
Bandit Captain,MM'14,15,10d8+20,+3
Bandit Crime Lord,MM'25,17,26d8+52,+5
Bandit Deceiver,MM'25,16,20d8+40,+3
Banshee,MM'25,12,12d8,+2
Banshee,MM'14,12,13d8,+2
Baphomet,MTF,22,19d12+152,+2
Baphomet,MPMM,22,22d12+176,+2
Barbed Devil,WttHC,15,13d8+52,+3
Barbed Devil,MM'25,15,13d8+52,+3
Barbed Devil,MM'14,15,13d8+52,+3
Bard,MPMM,15,8d8+8,+2
Bard,VGM,15,8d8+8,+2
Barghest,MPMM,17,8d10+16,+2
Barghest,VGM,17,12d10+24,+2
Bariaur Wanderer,MPP,14,11d8+22,+2
Barkburr,QftIS,16,8d6+24,-2
Barlgura,MM'14,15,8d10+24,+2
Barlgura,MM'25,15,10d10+30,+2
Barovian Commoner,CoS,10,1d8,0
Barovian Scout,CoS,13,3d8+3,+2
Barovian Witch,CoS,10,3d8+3,0
Barrowghast,BGG,12,12d12+60,-1
Basilisk,MM'25,15,8d8+16,-1
Basilisk,MM'14,15,8d8+16,-1
Bat,MM'14,12,1d4-1,+2
Bat,MM'25,12,1d4-1,+2
Battleforce Angel,GGR,17,12d8+12,+1
Battlehammer Dwarf,IDRotF,13,3d8+3,+2
Beanstalk Wurm,MCV4EC,16,14d20+84,+4
Bearded Devil,MM'14,13,8d8+16,+2
Bearded Devil,WttHC,13,9d8+18,+2
Bearded Devil,MM'25,13,9d8+18,+2
Beast of Malar,FRAiF,17,16d8+96,+3
Beast of the Land,PHB'24,13,(manual),+2
Beast of the Land,TCE,13,(manual),+2
Beast of the Sea,PHB'24,13,(manual),+2
Beast of the Sea,TCE,13,(manual),+2
Beast of the Sky,PHB'24,13,(manual),+3
Beast of the Sky,TCE,13,(manual),+3
Bebilith,MaBJoV,17,18d12+72,+6
Behir,MM'25,17,16d12+64,+3
Behir,MM'14,17,16d12+64,+3
Beholder,MM'14,17,19d10+76,+2
Beholder,MM'25,18,20d10+80,+2
Beholder Zombie,MM'25,15,11d10+33,-1
Beholder Zombie,MM'14,15,11d10+33,-1
Bel,CoA,19,27d10+216,+2
Belashyrra,ERLW,19,32d8+160,+5
Beledros Witherbloom,SCC,22,24d20+192,+2
Belial,CoA,20,40d8+240,+3
Berbalang,MTF,14,11d8-11,+3
Berbalang,MPMM,14,14d8-14,+3
Berserker,MM'25,13,9d8+27,+1
Berserker,MM'14,13,9d8+27,+1
Berserker Commander,MM'25,16,16d8+64,+2
Bestial Spirit,PHB'24,11,(manual),0
Bestial Spirit,TCE,11,(manual),0
"Bhaal, Ravager",MaBJoV,20,26d12+182,+7
"Bhaal, Slayer",MaBJoV,19,28d8+140,+6
Bheur Hag,MPMM,17,14d8+28,+3
Bheur Hag,VGM,17,14d8+28,+3
Big Xorn,WDMM,19,9d10+54,0
Biomancer,GGR,17,17d8+34,+2
Black Abishai,MPMM,15,9d8+18,+3
Black Abishai,MTF,15,9d8+18,+3
Black Bear,MM'25,11,3d8+6,+1
Black Bear,MM'14,11,3d8+6,0
Black Dragon Wyrmling,MM'25,17,6d8+6,+2
Black Dragon Wyrmling,MM'14,17,6d8+6,+2
Black Earth Guard,PotA,17,6d8+12,0
Black Earth Priest,PotA,17,7d8+14,0
Black Gauntlet of Bane,BGDIA,16,6d8+24,0
Black Greatwyrm,FTD,22,26d20+260,+2
Black Guard Drake,VGM,14,7d8+21,0
Black Pudding,MM'25,7,8d10+24,-3
Black Pudding,MM'14,7,10d10+30,-3
Black Rose Bearer,VEoR,11,13d8+52,-2
Blackguard,MPMM,17,14d8+56,0
Blackguard,VGM,17,18d8+72,0
Blacktongue Bullywug,WDMM,15,2d8+2,+1
Blade Lieutenant,VEoR,16,18d8+72,+1
Blade Scout,VEoR,17,14d8+42,+5
Blaze,MCV3MC,13,10d8+30,+3
Blazebear,VEoR,14,18d10+90,+3
Bleak Cabal Void Soother,MPP,16,10d8+10,+2
Blight Totem Elemental,PSX,12,4d8+4,-1
Blindheim,MFF,14,4d8+8,+3
Blink Dog,MM'14,13,4d8+4,+3
Blink Dog,MM'25,13,4d8+4,+3
Blistercoil Weird,GGR,13,7d8+14,+3
Blob of Annihilation,MM'25,18,23d20+207,+2
Blood Drinker Vampire,GGR,16,12d8+36,+4
Blood Hawk,MM'14,12,2d6,+2
Blood Hawk,MM'25,12,2d6,+2
Blood Hunter,EGW,16,10d8+20,+1
Blood Witch,GGR,12,12d8+24,+2
Blood-Toll Harpy,MOT,11,2d8,+1
Bloodfray Giant,GGR,14,9d12+45,-1
Blue Abishai,MTF,19,26d8+78,+2
Blue Abishai,MPMM,19,27d8+81,+2
Blue Dragon Wyrmling,MM'14,17,8d8+16,0
Blue Dragon Wyrmling,MM'25,17,10d8+20,0
Blue Greatwyrm,FTD,22,26d20+260,+2
Blue Guard Drake,VGM,14,7d8+21,0
Blue Slaad,MM'14,15,13d10+52,+2
Blue Slaad,MM'25,15,14d10+56,+2
Boar,MM'14,11,2d8+2,0
Boar,MM'25,11,2d8+4,0
Bodak,MPMM,15,9d8+18,+3
Bodak,VGM,15,9d8+18,+3
Bodhi Irenicus,MaBJoV,17,25d8+100,+5
Bodytaker Plant,RHW,16,12d12+60,-1
Bodytaker Plant,VRGR,16,8d12+40,-1
Bodytaker Podling,RHW,12,4d8+8,0
Boggle,MPMM,14,4d6+4,+4
Boggle,VGM,14,4d6+4,+4
Bone Devil,MM'14,19,15d10+60,+3
Bone Devil,MM'25,16,17d10+68,+3
Bone Knight,ERLW,20,13d8+26,+1
Bone Naga,MM'25,15,10d10+10,+3
Bone Naga (Guardian),MM'14,15,9d10+9,+3
Bone Naga (Spirit),MM'14,15,9d10+9,+3
Bone Roc,VEoR,15,14d12+42,+5
Bone Whelk,BGDIA,12,5d10,-3
Boneclaw,MTF,16,17d10+34,+3
Boneclaw,MPMM,16,20d10+40,+3
Boneless,RHW,12,4d8+4,+2
Boneless,VRGR,12,4d8+8,+2
Boontu Monkey,AWM,12,3,+2
Booyahg Booyahg Booyahg,VGM,12,9d8,+2
Booyahg Caster,VGM,15,2d6,+2
Booyahg Slave of the Archfey,VGM,11,11d8,+1
Booyahg Slave of the Fiend,VGM,12,12d8+24,+2
Booyahg Slave of the Great Old One,VGM,12,14d8+28,+2
Booyahg Whip,VGM,15,2d6,+2
Booyahg Wielder,VGM,15,2d6,+2
Borborygmos,GGR,14,20d12+140,0
Bore Worm,WDMM,17,15d20+90,-2
Borivik Windheim,MaBJoV,17,30d8+60,+5
Boromar Smuggler,EFA,13,6d6+6,+2
Boromar Underboss,EFA,16,19d6+38,+4
Borthak,VEoR,16,16d12+96,+3
Boss Augustus,BMT,13,20d8+60,+3
Boss Delour,BMT,14,20d6+40,+4
Boulderfoot Giant,PSZ,17,11d12+55,+2
Bozak Draconian,DSotDQ,15,9d8,0
Brackish Trudge,SCC,12,8d10+24,0
Brain Breaker,PaBTSO,14,18d10+90,0
Brain in a Jar,RHW,11,10d6+20,-4
Brain in a Jar,VRGR,11,10d6+20,-4
Brain in a Jar,LLK,11,9d8+18,-5
Brain in Iron,IMR,15,9d8+18,-5
Brass Dragon Wyrmling,MM'14,16,3d8+3,0
Brass Dragon Wyrmling,MM'25,15,4d8+4,0
Brass Greatwyrm,FTD,22,29d20+261,+3
Braxat,BAM,17,13d12+78,-1
Brazen Gorgon,MM'25,19,17d10+68,+2
Breath Drinker,BMT,17,21d8+63,+4
Bridesmaid of Zuggtmoy,OotA,13,5d8,0
Brigganock,WBtW,12,2d4+4,+2
Bristled Moorbounder,EGW,15,7d10+14,+2
Broken King Antigonos,MOT,14,9d10+27,0
Brontodon,PSX,15,9d20+27,-1
Brontosaurus,MPMM,15,9d20+27,-1
Brontosaurus,VGM,15,9d20+27,-1
Bronze Dragon Wyrmling,MM'14,17,5d8+10,0
Bronze Dragon Wyrmling,MM'25,15,6d8+12,0
Bronze Greatwyrm,FTD,22,29d20+261,+3
Bronze Sable,MOT,15,5d8+10,+3
Bronze Scout,MTF,13,4d8,+3
Broom of Animated Attack,CoS,15,5d6,+3
Brown Bear,MM'25,11,3d10+6,+1
Brown Bear,MM'14,11,4d10+12,0
Brown Scavver,BAM,13,6d10+18,+2
Bruna,PSI,19,16d10+112,+5
Brusipha,BMT,14,12d8+36,0
Bugbear,MM'14,16,5d8+5,+2
Bugbear Chief,MM'14,17,10d8+20,+2
Bugbear Gardener,TftYP,16,5d8+5,+2
Bugbear Lieutenant,TftYP,16,5d8+5,+2
Bugbear Stalker,MM'25,15,10d8+20,+2
Bugbear Warrior,MM'25,14,6d8+6,+2
Bulette,MM'25,17,9d10+45,0
Bulette,MM'14,17,9d10+45,0
Bulette Pup,MM'25,16,6d8+18,-1
Bulezau,MPMM,14,7d8+21,+2
Bulezau,MTF,14,7d8+21,+2
Bullywug,MM'14,15,2d8+2,+1
Bullywug Bog Sage,MM'25,16,8d8+16,+3
Bullywug Croaker,GoS,15,6d8+6,+1
Bullywug Knight,WBtW,17,12d8+12,+1
Bullywug Royal,GoS,15,8d8+16,+1
Bullywug Warrior,MM'25,15,2d8+2,+2
Burnished Hart,MOT,14,6d8+18,+2
Burrowshark,PotA,17,11d8+33,+1
Cackler,GGR,15,3d6,+3
Cadaver Collector,MPMM,17,18d10+90,+2
Cadaver Collector,MTF,17,18d10+90,+2
Cairnwight,BGG,19,12d12+60,0
Caldron Magen,NF,20,9d8+27,+1
Cambion,MM'25,19,14d8+42,+4
Cambion,MM'14,19,11d8+33,+4
Camel,MM'14,9,2d10+4,-1
Camel,MM'25,10,2d10+6,-1
Campestri,WBtW,12,1d4,-2
Cannith Artificer,EFA,16,11d8+22,+1
Canoloth,MPMM,16,16d8+48,0
Canoloth,MTF,16,16d8+48,0
Canopic Golem,CM,17,24d10+120,0
Carnivorous Flower,RoT,14,12d10+48,0
Carrion Crawler,MM'25,13,6d10+18,+1
Carrion Crawler,MM'14,13,6d10+18,+1
Carrion Ogre,WDMM,11,7d10+21,-1
Carrion Stalker,VRGR,14,10d4+10,+3
Carrion Stalker,RHW,15,10d4+30,+3
Carrionette,RHW,15,5d4+5,+2
Carrionette,VRGR,15,6d6+6,+2
Cat,MM'14,12,1d4,+2
Cat,MM'25,12,1d4,+2
Cat Skeleton,CoS,12,1d4,+2
Category 1 Krasis,GGR,15,3d8+6,+2
Category 2 Krasis,GGR,15,16d10+48,+2
Category 3 Krasis,GGR,16,25d12+125,+1
Catoblepas,MPMM,14,8d10+40,+1
Catoblepas,VGM,14,8d10+40,+1
Caustic Crawler,PSZ,14,6d10+6,0
Cave Badger,OotA,12,2d8+4,0
Cave Bear,MM'14,12,5d10+15,0
Cave Fisher,MPMM,16,9d8+18,+1
Cave Fisher,VGM,16,9d8+18,+1
Celestial Spirit,PHB'24,11,(manual),+2
Celestial Spirit,TCE,11,(manual),+2
Centaur,MM'14,12,6d10+12,+2
Centaur Mummy,TftYP,13,10d10+30,+1
Centaur Trooper,MM'25,16,6d10+12,+2
Centaur Warden,MM'25,16,14d10+28,+2
Ceratops,BGG,16,9d20+45,-1
Ceratops,PSX,13,10d12+30,-1
Cerodon,PSA,13,11d12+55,-1
Chain Devil,MM'25,15,10d8+40,+2
Chain Devil,MM'14,16,10d8+40,+2
Chakuna,RHW,16,28d8+84,+4
Chamberlain of Zuggtmoy,OotA,13,6d10+12,-2
Champion,VGM,17,22d8+44,+2
Champion,MPMM,17,22d8+44,+2
Champion of Gorm,QftIS,19,6d8+6,0
Champion of Madarua,QftIS,13,6d8+12,+1
Champion of Usamigaras,QftIS,12,6d8+6,+2
Changeling,ERLW,13,4d8+4,+2
Chaos Quadrapod,AI,14,7d10+14,+1
